iter	Passed	Remaining
0	21	63360
1	43	65870
2	64	64424
3	84	63288
4	104	62515
5	124	62093
6	144	61893
7	165	61764
8	185	61545
9	205	61481
10	225	61365
11	245	61125
12	256	58857
13	276	58922
14	295	58856
15	315	58754
16	334	58697
17	354	58759
18	374	58741
19	394	58764
20	415	58922
21	434	58774
22	453	58688
23	471	58480
24	490	58373
25	508	58168
26	527	58130
27	546	57972
28	565	57920
29	586	58042
30	604	57941
31	624	57958
32	644	57907
33	663	57882
34	682	57831
35	701	57742
36	719	57657
37	736	57445
38	755	57389
39	775	57378
40	794	57353
41	813	57288
42	833	57316
43	852	57296
44	872	57308
45	892	57309
46	912	57301
47	930	57214
48	949	57159
49	969	57184
50	990	57248
51	1009	57245
52	1028	57174
53	1050	57312
54	1069	57268
55	1089	57296
56	1109	57283
57	1128	57264
58	1147	57224
59	1167	57209
60	1186	57145
61	1204	57063
62	1222	57010
63	1242	57013
64	1260	56916
65	1279	56865
66	1298	56832
67	1316	56770
68	1335	56739
69	1354	56706
70	1373	56679
71	1395	56770
72	1414	56700
73	1433	56671
74	1451	56620
75	1471	56598
76	1490	56571
77	1509	56561
78	1528	56515
79	1547	56495
80	1566	56437
81	1584	56386
82	1603	56342
83	1622	56330
84	1641	56292
85	1659	56240
86	1679	56241
87	1697	56184
88	1717	56172
89	1735	56101
90	1753	56063
91	1772	56011
92	1794	56086
93	1813	56076
94	1831	56002
95	1850	55973
96	1868	55925
97	1888	55918
98	1908	55922
99	1926	55856
100	1945	55833
101	1962	55761
102	1981	55718
103	1999	55677
104	2019	55688
105	2041	55738
106	2059	55681
107	2077	55626
108	2095	55576
109	2113	55522
110	2133	55518
111	2150	55461
112	2169	55436
113	2193	55530
114	2214	55560
115	2232	55500
116	2250	55459
117	2268	55409
118	2289	55418
119	2306	55360
120	2325	55324
121	2344	55298
122	2363	55277
123	2382	55265
124	2404	55297
125	2423	55267
126	2442	55262
127	2463	55269
128	2481	55223
129	2499	55170
130	2518	55150
131	2537	55141
132	2557	55125
133	2576	55113
134	2594	55070
135	2612	55021
136	2631	54991
137	2651	54990
138	2669	54939
139	2686	54887
140	2707	54896
141	2726	54866
142	2744	54828
143	2762	54791
144	2782	54794
145	2800	54744
146	2819	54721
147	2836	54666
148	2856	54660
149	2875	54642
150	2895	54638
151	2913	54591
152	2932	54569
153	2953	54573
154	2971	54545
155	2989	54505
156	3010	54507
157	3028	54478
158	3046	54442
159	3065	54407
160	3083	54368
161	3102	54353
162	3120	54310
163	3139	54294
164	3157	54245
165	3175	54211
166	3193	54178
167	3212	54152
168	3231	54137
169	3249	54102
170	3268	54074
171	3286	54036
172	3305	54018
173	3324	54000
174	3346	54018
175	3365	54004
176	3386	54005
177	3404	53969
178	3421	53926
179	3441	53912
180	3460	53892
181	3479	53874
182	3496	53828
183	3515	53798
184	3536	53809
185	3555	53784
186	3576	53802
187	3595	53779
188	3615	53774
189	3634	53757
190	3655	53765
191	3675	53750
192	3694	53729
193	3713	53706
194	3732	53691
195	3754	53707
196	3775	53721
197	3794	53701
198	3814	53683
199	3832	53659
200	3851	53640
201	3870	53609
202	3887	53569
203	3909	53579
204	3927	53550
205	3949	53562
206	3968	53551
207	3988	53536
208	4007	53510
209	4025	53476
210	4042	53438
211	4061	53408
212	4079	53377
213	4096	53333
214	4115	53315
215	4133	53282
216	4152	53260
217	4173	53260
218	4192	53239
219	4209	53197
220	4231	53210
221	4249	53179
222	4267	53137
223	4286	53116
224	4304	53085
225	4322	53058
226	4341	53036
227	4359	53005
228	4378	52977
229	4396	52953
230	4414	52922
231	4435	52918
232	4455	52907
233	4471	52858
234	4490	52837
235	4510	52832
236	4530	52818
237	4551	52816
238	4571	52812
239	4591	52801
240	4611	52797
241	4629	52766
242	4647	52725
243	4665	52696
244	4684	52675
245	4704	52670
246	4722	52631
247	4739	52596
248	4758	52568
249	4777	52557
250	4794	52515
251	4814	52497
252	4835	52501
253	4854	52477
254	4872	52453
255	4890	52414
256	4908	52384
257	4927	52364
258	4946	52348
259	4965	52325
260	4986	52329
261	5004	52302
262	5024	52290
263	5046	52297
264	5064	52267
265	5082	52240
266	5100	52211
267	5118	52179
268	5140	52187
269	5158	52157
270	5193	52295
271	5210	52258
272	5227	52220
273	5249	52228
274	5267	52193
275	5286	52170
276	5305	52155
277	5325	52147
278	5344	52119
279	5365	52119
280	5387	52126
281	5411	52154
282	5429	52125
283	5448	52104
284	5466	52073
285	5485	52058
286	5504	52033
287	5523	52010
288	5541	51981
289	5559	51951
290	5578	51929
291	5597	51909
292	5618	51912
293	5639	51910
294	5659	51896
295	5677	51865
296	5696	51842
297	5714	51817
298	5733	51793
299	5753	51785
300	5773	51771
301	5793	51759
302	5812	51740
303	5832	51720
304	5852	51710
305	5871	51687
306	5892	51685
307	5912	51678
308	5930	51646
309	5948	51616
310	5967	51599
311	5985	51565
312	6002	51531
313	6021	51508
314	6038	51473
315	6056	51442
316	6075	51418
317	6094	51403
318	6114	51386
319	6133	51368
320	6153	51357
321	6174	51351
322	6197	51366
323	6217	51353
324	6235	51325
325	6253	51292
326	6270	51256
327	6288	51232
328	6308	51215
329	6327	51193
330	6346	51172
331	6363	51141
332	6382	51114
333	6400	51091
334	6419	51069
335	6438	51044
336	6456	51021
337	6474	50988
338	6493	50969
339	6512	50947
340	6529	50916
341	6548	50890
342	6565	50858
343	6585	50848
344	6606	50837
345	6624	50816
346	6643	50796
347	6660	50760
348	6680	50744
349	6699	50722
350	6717	50696
351	6735	50668
352	6754	50649
353	6773	50627
354	6791	50600
355	6809	50571
356	6827	50549
357	6847	50531
358	6865	50504
359	6882	50475
360	6901	50448
361	6919	50420
362	6937	50398
363	6955	50370
364	6974	50347
365	6993	50331
366	7014	50323
367	7031	50292
368	7049	50262
369	7071	50268
370	7090	50243
371	7111	50237
372	7129	50213
373	7146	50179
374	7165	50159
375	7186	50150
376	7203	50122
377	7221	50092
378	7242	50085
379	7259	50055
380	7278	50033
381	7297	50013
382	7316	49990
383	7334	49968
384	7354	49952
385	7373	49934
386	7423	50121
387	7450	50155
388	7471	50147
389	7494	50155
390	7514	50143
391	7535	50135
392	7554	50114
393	7572	50085
394	7590	50058
395	7607	50025
396	7625	50000
397	7643	49974
398	7662	49953
399	7681	49930
400	7700	49911
401	7721	49900
402	7743	49897
403	7762	49882
404	7782	49863
405	7801	49846
406	7821	49833
407	7843	49827
408	7862	49808
409	7880	49784
410	7899	49759
411	7917	49731
412	7934	49704
413	7954	49686
414	7972	49660
415	7989	49628
416	8008	49605
417	8027	49589
418	8047	49571
419	8065	49545
420	8084	49523
421	8102	49498
422	8121	49480
423	8139	49453
424	8158	49427
425	8176	49406
426	8199	49405
427	8218	49389
428	8237	49369
429	8255	49341
430	8273	49315
431	8291	49288
432	8309	49261
433	8327	49235
434	8348	49224
435	8367	49206
436	8387	49193
437	8406	49175
438	8427	49161
439	8444	49132
440	8462	49106
441	8482	49090
442	8499	49062
443	8518	49039
444	8537	49015
445	8555	48991
446	8575	48976
447	8597	48972
448	8618	48966
449	8637	48944
450	8658	48938
451	8678	48920
452	8695	48889
453	8713	48864
454	8731	48839
455	8749	48814
456	8767	48785
457	8785	48760
458	8805	48744
459	8824	48725
460	8845	48718
461	8862	48688
462	8881	48665
463	8902	48654
464	8920	48631
465	8938	48605
466	8957	48584
467	8977	48572
468	8997	48556
469	9019	48552
470	9039	48538
471	9058	48516
472	9077	48494
473	9096	48477
474	9116	48458
475	9134	48435
476	9152	48411
477	9170	48384
478	9188	48362
479	9208	48344
480	9228	48331
481	9246	48305
482	9264	48280
483	9284	48261
484	9303	48245
485	9322	48225
486	9340	48199
487	9360	48184
488	9380	48166
489	9403	48168
490	9424	48157
491	9443	48140
