dataset,column,rank,value,count,pct
train,geohash,1,qp094q,105,0.0013583616864383757
train,geohash,2,qp03pr,105,0.0013583616864383757
train,geohash,3,qp094r,105,0.0013583616864383757
train,geohash,4,qp03r0,105,0.0013583616864383757
train,geohash,5,qp03r2,105,0.0013583616864383757
train,geohash,6,qp03q9,105,0.0013583616864383757
train,geohash,7,qp03r1,105,0.0013583616864383757
train,geohash,8,qp03r3,105,0.0013583616864383757
train,geohash,9,qp03r9,105,0.0013583616864383757
train,geohash,10,qp03qd,105,0.0013583616864383757
train,geohash,11,qp03qf,105,0.0013583616864383757
train,geohash,12,qp03mg,105,0.0013583616864383757
train,geohash,13,qp03qg,105,0.0013583616864383757
train,geohash,14,qp03r5,105,0.0013583616864383757
train,geohash,15,qp0927,105,0.0013583616864383757
train,geohash,16,qp097e,105,0.0013583616864383757
train,geohash,17,qp092h,105,0.0013583616864383757
train,geohash,18,qp092k,105,0.0013583616864383757
train,geohash,19,qp096u,105,0.0013583616864383757
train,geohash,20,qp097s,105,0.0013583616864383757
train,geohash,21,qp03qj,105,0.0013583616864383757
train,geohash,22,qp03qm,105,0.0013583616864383757
train,geohash,23,qp03rm,105,0.0013583616864383757
train,geohash,24,qp03rt,105,0.0013583616864383757
train,geohash,25,qp03rv,105,0.0013583616864383757
train,geohash,26,qp092j,105,0.0013583616864383757
train,geohash,27,qp092m,105,0.0013583616864383757
train,geohash,28,qp096v,105,0.0013583616864383757
train,geohash,29,qp09kv,105,0.0013583616864383757
train,geohash,30,qp092n,105,0.0013583616864383757
train,geohash,31,qp092q,105,0.0013583616864383757
train,geohash,32,qp096q,105,0.0013583616864383757
train,geohash,33,qp096w,105,0.0013583616864383757
train,geohash,34,qp096y,105,0.0013583616864383757
train,geohash,35,qp097y,105,0.0013583616864383757
train,geohash,36,qp092r,105,0.0013583616864383757
train,geohash,37,qp096r,105,0.0013583616864383757
train,geohash,38,qp096x,105,0.0013583616864383757
train,geohash,39,qp096z,105,0.0013583616864383757
train,geohash,40,qp03tb,105,0.0013583616864383757
train,geohash,41,qp03w8,105,0.0013583616864383757
train,geohash,42,qp09d2,105,0.0013583616864383757
train,geohash,43,qp09d8,105,0.0013583616864383757
train,geohash,44,qp09db,105,0.0013583616864383757
train,geohash,45,qp09t0,105,0.0013583616864383757
train,geohash,46,qp03w9,105,0.0013583616864383757
train,geohash,47,qp03wc,105,0.0013583616864383757
train,geohash,48,qp03x3,105,0.0013583616864383757
train,geohash,49,qp09d3,105,0.0013583616864383757
train,geohash,50,qp09d9,105,0.0013583616864383757
train,timestamp,1,2:0,1778,0.02300159122368983
train,timestamp,2,1:45,1755,0.022704045330469994
train,timestamp,3,1:30,1750,0.022639361440639594
train,timestamp,4,1:15,1698,0.021966648986403447
train,timestamp,5,1:0,1668,0.021578545647421052
train,timestamp,6,0:30,1617,0.020918769971150986
train,timestamp,7,0:45,1609,0.020815275747422347
train,timestamp,8,0:15,1578,0.020414235630473874
train,timestamp,9,0:0,1534,0.019845017399966365
train,timestamp,10,6:0,928,0.012005329952522025
train,timestamp,11,4:45,925,0.011966519618623786
train,timestamp,12,4:30,923,0.011940646062691625
train,timestamp,13,4:0,921,0.011914772506759467
train,timestamp,14,10:45,920,0.011901835728793386
train,timestamp,15,6:15,917,0.011863025394895147
train,timestamp,16,6:30,917,0.011863025394895147
train,timestamp,17,3:45,914,0.011824215060996908
train,timestamp,18,4:15,914,0.011824215060996908
train,timestamp,19,5:45,913,0.011811278283030828
train,timestamp,20,5:0,911,0.011785404727098669
train,timestamp,21,7:0,909,0.01175953117116651
train,timestamp,22,10:30,907,0.01173365761523435
train,timestamp,23,3:30,903,0.01168191050337003
train,timestamp,24,6:45,903,0.01168191050337003
train,timestamp,25,5:15,902,0.011668973725403951
train,timestamp,26,9:45,902,0.011668973725403951
train,timestamp,27,11:0,902,0.011668973725403951
train,timestamp,28,10:0,899,0.011630163391505712
train,timestamp,29,11:45,898,0.011617226613539632
train,timestamp,30,10:15,896,0.011591353057607473
train,timestamp,31,2:15,895,0.011578416279641393
train,timestamp,32,2:30,895,0.011578416279641393
train,timestamp,33,5:30,895,0.011578416279641393
train,timestamp,34,8:45,895,0.011578416279641393
train,timestamp,35,3:15,894,0.011565479501675312
train,timestamp,36,9:0,893,0.011552542723709232
train,timestamp,37,12:15,893,0.011552542723709232
train,timestamp,38,11:30,891,0.011526669167777073
train,timestamp,39,7:45,890,0.011513732389810993
train,timestamp,40,7:30,889,0.011500795611844914
train,timestamp,41,2:45,887,0.011474922055912754
train,timestamp,42,12:0,887,0.011474922055912754
train,timestamp,43,9:30,886,0.011461985277946675
train,timestamp,44,3:0,884,0.011436111722014515
train,timestamp,45,7:15,881,0.011397301388116276
train,timestamp,46,12:30,880,0.011384364610150195
train,timestamp,47,8:15,878,0.011358491054218036
train,timestamp,48,8:30,876,0.011332617498285878
train,timestamp,49,11:15,876,0.011332617498285878
train,timestamp,50,9:15,868,0.011229123274557239
train,RoadType,1,Residential,69230,0.8956131385917023
train,RoadType,2,Street,3909,0.05056986506940581
train,RoadType,3,Highway,3560,0.04605492955924397
train,RoadType,4,<MISSING>,600,0.007762066779647861
train,LargeVehicles,1,Not Allowed,50673,0.6555453498751601
train,LargeVehicles,2,Allowed,26626,0.3444546501248399
train,Landmarks,1,Yes,52042,0.6732557989107233
train,Landmarks,2,No,25257,0.3267442010892767
train,Weather,1,Sunny,27717,0.35856867488583294
train,Weather,2,Rainy,20824,0.2693954643656451
train,Weather,3,Foggy,20243,0.26187919636735274
train,Weather,4,Snowy,7718,0.09984605234220365
train,Weather,5,<MISSING>,797,0.010310612038965576
train,NumberofLanes,1,1,27411,0.3546100208282125
train,NumberofLanes,2,2,24127,0.31212564198760656
train,NumberofLanes,3,3,23919,0.309434792170662
train,NumberofLanes,4,4,926,0.011979456396589865
train,NumberofLanes,5,5,916,0.011850088616929067
test,geohash,1,qp02zs,47,0.0011249940159892766
test,geohash,2,qp08bh,47,0.0011249940159892766
test,geohash,3,qp08bk,47,0.0011249940159892766
test,geohash,4,qp02zj,47,0.0011249940159892766
test,geohash,5,qp02zt,47,0.0011249940159892766
test,geohash,6,qp08bj,47,0.0011249940159892766
test,geohash,7,qp02zn,47,0.0011249940159892766
test,geohash,8,qp02zw,47,0.0011249940159892766
test,geohash,9,qp02zy,47,0.0011249940159892766
test,geohash,10,qp08by,47,0.0011249940159892766
test,geohash,11,qp02zx,47,0.0011249940159892766
test,geohash,12,qp02zz,47,0.0011249940159892766
test,geohash,13,qp08cp,47,0.0011249940159892766
test,geohash,14,qp08gr,47,0.0011249940159892766
test,geohash,15,qp08gz,47,0.0011249940159892766
test,geohash,16,qp03p2,47,0.0011249940159892766
test,geohash,17,qp03p8,47,0.0011249940159892766
test,geohash,18,qp03pb,47,0.0011249940159892766
test,geohash,19,qp0900,47,0.0011249940159892766
test,geohash,20,qp090b,47,0.0011249940159892766
test,geohash,21,qp094b,47,0.0011249940159892766
test,geohash,22,qp0950,47,0.0011249940159892766
test,geohash,23,qp095b,47,0.0011249940159892766
test,geohash,24,qp03p3,47,0.0011249940159892766
test,geohash,25,qp03p9,47,0.0011249940159892766
test,geohash,26,qp090c,47,0.0011249940159892766
test,geohash,27,qp0953,47,0.0011249940159892766
test,geohash,28,qp03pd,47,0.0011249940159892766
test,geohash,29,qp0904,47,0.0011249940159892766
test,geohash,30,qp03p7,47,0.0011249940159892766
test,geohash,31,qp0905,47,0.0011249940159892766
test,geohash,32,qp0907,47,0.0011249940159892766
test,geohash,33,qp090e,47,0.0011249940159892766
test,geohash,34,qp0945,47,0.0011249940159892766
test,geohash,35,qp0947,47,0.0011249940159892766
test,geohash,36,qp090k,47,0.0011249940159892766
test,geohash,37,qp090s,47,0.0011249940159892766
test,geohash,38,qp094h,47,0.0011249940159892766
test,geohash,39,qp09hh,47,0.0011249940159892766
test,geohash,40,qp09hs,47,0.0011249940159892766
test,geohash,41,qp090m,47,0.0011249940159892766
test,geohash,42,qp090t,47,0.0011249940159892766
test,geohash,43,qp091t,47,0.0011249940159892766
test,geohash,44,qp094m,47,0.0011249940159892766
test,geohash,45,qp094t,47,0.0011249940159892766
test,geohash,46,qp095v,47,0.0011249940159892766
test,geohash,47,qp09hj,47,0.0011249940159892766
test,geohash,48,qp09hm,47,0.0011249940159892766
test,geohash,49,qp09ht,47,0.0011249940159892766
test,geohash,50,qp09hv,47,0.0011249940159892766
test,timestamp,1,4:30,939,0.022475944276892146
test,timestamp,2,4:45,932,0.022308391976638423
test,timestamp,3,5:0,932,0.022308391976638423
test,timestamp,4,4:0,928,0.022212647805064867
test,timestamp,5,4:15,926,0.02216477571927809
test,timestamp,6,5:30,926,0.02216477571927809
test,timestamp,7,5:15,923,0.022092967590597923
test,timestamp,8,9:0,922,0.022069031547704534
test,timestamp,9,5:45,918,0.021973287376130978
test,timestamp,10,2:30,915,0.02190147924745081
test,timestamp,11,3:45,909,0.021757862990090478
test,timestamp,12,10:0,909,0.021757862990090478
test,timestamp,13,3:30,908,0.02173392694719709
test,timestamp,14,6:15,904,0.021638182775623533
test,timestamp,15,9:15,904,0.021638182775623533
test,timestamp,16,9:30,904,0.021638182775623533
test,timestamp,17,7:15,903,0.021614246732730144
test,timestamp,18,6:0,901,0.021566374646943366
test,timestamp,19,8:45,901,0.021566374646943366
test,timestamp,20,9:45,898,0.0214945665182632
test,timestamp,21,3:0,897,0.02147063047536981
test,timestamp,22,6:45,897,0.02147063047536981
test,timestamp,23,11:0,897,0.02147063047536981
test,timestamp,24,2:45,896,0.02144669443247642
test,timestamp,25,3:15,896,0.02144669443247642
test,timestamp,26,8:0,895,0.021422758389583033
test,timestamp,27,6:30,894,0.021398822346689644
test,timestamp,28,7:0,893,0.021374886303796255
test,timestamp,29,7:30,892,0.02135095026090287
test,timestamp,30,10:30,890,0.02130307817511609
test,timestamp,31,7:45,889,0.021279142132222702
test,timestamp,32,10:15,889,0.021279142132222702
test,timestamp,33,2:15,887,0.021231270046435925
test,timestamp,34,8:30,884,0.021159461917755758
test,timestamp,35,8:15,881,0.02108765378907559
test,timestamp,36,10:45,880,0.021063717746182202
test,timestamp,37,12:0,878,0.021015845660395424
test,timestamp,38,11:30,876,0.020967973574608646
