lag_steps,pair_count,autocorrelation
1,76050,0.9713626479987129
2,74833,0.9556490980330057
3,73650,0.9421239495713455
4,72498,0.9283200044133787
5,71361,0.9139213939240759
6,70242,0.8992303905634128
7,69135,0.8840310787971853
8,68039,0.8679079916021368
9,66952,0.8510678348999173
10,65877,0.8334781889775621
11,64811,0.8155216260941098
12,63748,0.7972868520315369
13,62694,0.7785962399459058
14,61644,0.7608918308623897
15,60606,0.7441481469877431
16,59582,0.7282073956286399
17,58564,0.7140546579140262
18,57553,0.7005029429372907
19,56550,0.6872124255474403
20,55554,0.675285292714165
21,54563,0.6649845316825025
22,53579,0.6552025888642465
23,52600,0.6460918548790713
24,51627,0.6369015864954923
25,50659,0.6283686835459179
26,49701,0.6209503508650255
27,48748,0.6149089480824964
28,47798,0.6091321885883031
29,46857,0.6040818536909023
30,45920,0.5998838408320661
31,44989,0.5955218689184001
32,44065,0.5911794932927741
33,43147,0.5873891387550445
34,42236,0.5839922749053423
35,41334,0.5803277888679096
36,40439,0.577828580450876
37,39551,0.5746310945039337
38,38667,0.5724339553321376
39,37795,0.5708589493836491
40,36924,0.5690310130211268
41,36058,0.5668148988519254
42,35201,0.5646407415811935
43,34352,0.5627439378950803
44,33509,0.5608495495644168
45,32672,0.559558865352844
46,31841,0.5586957171505352
47,31017,0.5581555646028603
48,30199,0.5571424376994843
49,29388,0.5561498456011444
50,28578,0.5557915708378448
51,27777,0.5564610060637736
52,26987,0.5582963092185402
53,26205,0.5623394125809906
54,25429,0.5667097365564235
55,24661,0.5726728077095276
56,23904,0.5808516707398944
57,23154,0.5906863182932278
58,22412,0.5997837610622102
59,21680,0.607798800109001
60,20953,0.6136002079760341
61,20232,0.6187567770173865
62,19523,0.622827303206147
63,18828,0.6274949586470369
64,18141,0.6317507374950251
65,17458,0.6363913357214789
66,16780,0.6397535348815735
67,16111,0.6434020549157027
68,15454,0.6470440477454459
69,14803,0.652224962795036
70,14163,0.6574412903006388
71,13530,0.662850861513215
72,12914,0.6691106715065656
73,12311,0.6761336394832544
74,11718,0.6821961391130613
75,11134,0.6877134529547984
76,10565,0.6918542751268947
77,10005,0.69751514596999
78,9462,0.7029386115686053
79,8930,0.7081036267366844
80,8410,0.7132378285250974
81,7900,0.7172927706476045
82,7400,0.7221848270456388
83,6913,0.7266646368055099
84,6444,0.7314917685551938
85,5986,0.7338809130184153
86,5542,0.7397529768887471
87,5110,0.7448036549933904
88,4699,0.7489692839536146
89,4299,0.7501860690411568
90,3916,0.7529103009764054
91,3551,0.7546876898526129
92,3197,0.7552955786767822
93,2859,0.7521547619079716
94,2532,0.7490699700320306
95,2221,0.7516651754057593
96,1923,0.75551703360094
