key,count,mean,median,std,min,max
0,6338,0.08336931769000748,0.0432757838756583,0.12224214902179896,3.896741322124285e-06,1.0
1,6871,0.0897926395535597,0.0485141515985094,0.12617387259306326,4.8330524358579765e-06,1.0
2,4455,0.08736764120659515,0.0492845200506783,0.12055504750638074,7.981559426582837e-07,1.0
3,3595,0.09132926369183243,0.0515887680172846,0.12740403717983814,2.6410182889648863e-05,1.0
4,3683,0.1016783062819687,0.0569012749497249,0.14288811011892902,8.331216780984387e-06,1.0
5,3621,0.10436793072198736,0.0585976553937765,0.14637713530903365,3.640838580498645e-05,1.0
6,3665,0.10391298466975117,0.0573044394000584,0.14803396435880642,1.906448442899601e-05,1.0
7,3569,0.10619781916329171,0.057081032214305,0.15230294822259238,1.990684155591693e-05,1.0
8,3507,0.10614935432936738,0.0559324227750533,0.15623408772740138,8.914734658294655e-05,1.0
9,3549,0.10923119490513901,0.0572066108338779,0.1622184736017958,2.192114794362368e-05,1.0
10,3622,0.11160169313327721,0.05810790036825375,0.1642145710677391,1.1890183853502377e-05,1.0
11,3567,0.11730055708605733,0.0603715790829786,0.16975586687294042,2.883754011419188e-05,1.0
12,3525,0.11477026408032903,0.0570202803442991,0.1704840336590437,4.995530480954146e-05,1.0
13,3271,0.11630801162945474,0.0543533559848898,0.17965725282917014,6.514997565667447e-06,1.0
14,3000,0.10716621736141209,0.04907047899870075,0.16993660041024547,7.398573633737529e-06,1.0
15,2580,0.08316130168943553,0.03777007782569085,0.1356019682187959,2.967152280047076e-05,1.0
16,2108,0.07006531263075026,0.0301360067771438,0.12080062372487418,2.237334735700596e-05,1.0
17,1684,0.05890495937213663,0.023791452763307498,0.1145736817383296,3.46532786016425e-05,1.0
18,1247,0.04878721446625862,0.0205926044075484,0.09836199037928185,6.245650130093708e-07,1.0
19,1214,0.042113992556644546,0.01913126095180035,0.08869390900874821,5.804770742954357e-06,1.0
20,1418,0.04377792942045763,0.0206052034497208,0.08694031517446825,1.9859023789430574e-05,1.0
21,1738,0.056954652645583935,0.033301349100724645,0.08232131106151166,4.70616183146878e-05,1.0
22,2410,0.07454400905661356,0.0427461102307124,0.09947211157271428,7.022824092272974e-05,1.0
23,3062,0.09251658852299297,0.049631202375558195,0.12835702295923046,9.980108547441285e-06,1.0
