column,dataset,excess_kurtosis,inferred_type,max,mean,median,min,missing_count,missing_pct,non_missing_cardinality,q25,q75,row_count,skewness,std,top1_count,top1_pct,top1_value,top2_count,top2_pct,top2_value,top3_count,top3_pct,top3_value
Index,train,-1.2000000004016036,numeric,77298.0,38649.0,38649.0,0.0,0,0.0,77299,19324.5,57973.5,77299,3.363751532948939e-15,22314.299227177176,,,,,,,,,
Landmarks,train,,categorical,,,,,0,0.0,2,,,77299,,,52042,0.6732557989107233,Yes,25257,0.3267442010892767,No,,,
LargeVehicles,train,,categorical,,,,,0,0.0,2,,,77299,,,50673,0.6555453498751601,Not Allowed,26626,0.3444546501248399,Allowed,,,
NumberofLanes,train,-0.31956489633548113,numeric,5.0,2.0143339499864163,2.0,1.0,0,0.0,5,1.0,3.0,77299,0.45303322100417165,0.9046590374368664,,,,,,,,,
RoadType,train,,categorical,,,,,600,0.007762066779647861,3,,,77299,,,69230,0.8956131385917023,Residential,3909,0.05056986506940581,Street,3560,0.04605492955924397,Highway
Temperature,train,0.007518751833416548,numeric,48.2514326535093,16.40535432366739,16.382587216677827,-14.935096760357844,2495,0.03227726102536902,74804,11.43047321089344,21.298833485634532,77299,0.021595530303966583,7.359786147944295,,,,,,,,,
Weather,train,,categorical,,,,,797,0.010310612038965576,4,,,77299,,,27717,0.35856867488583294,Sunny,20824,0.2693954643656451,Rainy,20243,0.26187919636735274,Foggy
day,train,4.932872070998815,numeric,49.0,48.10183831614898,48.0,48.0,0,0.0,2,48.0,48.0,77299,2.633034764487561,0.30243556919272385,,,,,,,,,
demand,train,17.330763614614238,numeric,1.0,0.09394238120172659,0.0477599362718394,6.245650130093708e-07,0,0.0,76715,0.0182272313088053,0.1085951157589521,77299,3.7284449358413263,0.1421896066415708,,,,,,,,,
geohash,train,,categorical,,,,,0,0.0,1249,,,77299,,,105,0.0013583616864383757,qp094q,105,0.0013583616864383757,qp03pr,105,0.0013583616864383757,qp094r
timestamp,train,,categorical,,,,,0,0.0,96,,,77299,,,1778,0.02300159122368983,2:0,1755,0.022704045330469994,1:45,1750,0.022639361440639594,1:30
Index,test,-1.2000000013750443,numeric,41777.0,20888.5,20888.5,0.0,0,0.0,41778,10444.25,31332.75,41778,-6.652056162254229e-17,12060.269769647222,,,,,,,,,
Landmarks,test,,categorical,,,,,0,0.0,2,,,41778,,,28245,0.6760735315237685,Yes,13533,0.3239264684762315,No,,,
LargeVehicles,test,,categorical,,,,,0,0.0,2,,,41778,,,26178,0.6265977308631338,Not Allowed,15600,0.3734022691368663,Allowed,,,
NumberofLanes,test,0.05040245597483084,numeric,5.0,2.0689836756187465,2.0,1.0,0,0.0,5,1.0,3.0,41778,0.6500442488578279,0.988506754691431,,,,,,,,,
RoadType,test,,categorical,,,,,324,0.007755277897457992,3,,,41778,,,33775,0.8084398487242089,Residential,4272,0.10225477524055723,Highway,3407,0.08155009813777586,Street
Temperature,test,0.0240958700207492,numeric,45.23040757256379,16.457338549155214,16.47123220203502,-21.314644566266928,1349,0.03228972186318158,40429,11.527029108276944,21.36588264682561,41778,-0.012139114413711457,7.350976462858871,,,,,,,,,
Weather,test,,categorical,,,,,431,0.0103164344870506,4,,,41778,,,15078,0.3609076547465173,Sunny,11102,0.26573794820240315,Foggy,11081,0.26523529130164203,Rainy
day,test,0.0,numeric,49.0,49.0,49.0,49.0,0,0.0,1,49.0,49.0,41778,0.0,0.0,,,,,,,,,
geohash,test,,categorical,,,,,0,0.0,1190,,,41778,,,47,0.0011249940159892766,qp02zs,47,0.0011249940159892766,qp08bh,47,0.0011249940159892766,qp08bk
timestamp,test,,categorical,,,,,0,0.0,47,,,41778,,,939,0.022475944276892146,4:30,932,0.022308391976638423,4:45,932,0.022308391976638423,5:0
