dataset,geohash_prefix_4,row_count,temperature_missing_count,temperature_missing_pct,temperature_mean,temperature_median
test,qp02,1075,34,0.03162790697674418,16.755611011087332,16.656244636752568
test,qp03,11913,379,0.03181398472257198,16.467389894188067,16.5344447604258
test,qp06,1221,43,0.03521703521703522,16.53791903957101,16.403014149512988
test,qp08,1291,40,0.030983733539891558,16.90295391486089,17.038135483723597
test,qp09,22668,738,0.032556908417151934,16.433736391308084,16.41749845039145
test,qp0d,3610,115,0.03185595567867036,16.296758530528024,16.344489183238373
train,qp02,1434,42,0.029288702928870293,16.357135027574614,16.369015068944265
train,qp03,23835,789,0.033102580239144114,16.378075983950527,16.315165022588026
train,qp06,2511,92,0.03663878932696137,16.408717731236145,16.37286204067643
train,qp08,1953,69,0.03533026113671275,16.65388830468859,16.6283368767997
train,qp09,41391,1307,0.031576912855451666,16.41411041916613,16.39850597305938
train,qp0d,6175,196,0.03174089068825911,16.383348042042368,16.47169572839715
