gap_minutes,count
15,69021
30,3149
45,1178
60,613
75,407
90,246
105,197
120,132
135,102
150,80
165,71
180,51
195,46
225,39
210,39
270,36
240,35
255,29
390,27
360,27
375,27
285,26
345,25
420,24
480,21
330,21
465,21
495,21
450,21
405,20
315,20
510,19
435,19
525,18
300,15
585,15
540,14
675,14
600,14
555,13
645,11
570,11
660,10
615,10
630,9
720,9
690,6
705,6
795,6
735,5
825,5
765,5
885,4
870,4
750,4
780,3
930,3
915,3
1110,2
840,2
900,2
810,2
1185,2
1005,1
1125,1
1215,1
855,1
1470,1
1395,1
1260,1
975,1
1230,1
1020,1
960,1
1080,1
945,1
