feature,importance
agg_RoadType,10.0
Temperature,9.0
agg_Weather,2.0
NumberofLanes,1.8
agg_geohash,1.8
temp_lane_interaction,1.0
hour_sin,0.6
agg_geohash_hour,0.6
LargeVehicles,0.4
geohash_prefix_4_hour_median,0.4
Landmarks,0.4
RoadType,0.2
geohash_hour_std,0.2
hour,0.2
minute_sin,0.2
hour_cos,0.2
temp_hour_interaction,0.2
RoadType_hour_median,0.0
RoadType_hour_mean,0.0
RoadType_count,0.0
RoadType_hour_std,0.0
RoadType_target_mean,0.0
Weather,0.0
Weather_count,0.0
avg_demand_by_weather,0.0
avg_demand_by_road,0.0
avg_demand_by_hour,0.0
agg_RoadType_hour,0.0
Weather_hour_mean,0.0
Weather_hour_median,0.0
Weather_hour_std,0.0
Weather_target_mean,0.0
geohash_prefix_3,0.0
geohash_prefix_2,0.0
geohash_prefix_4_count,0.0
day,0.0
geohash_hour_mean,0.0
geohash_hour_median,0.0
geohash_count,0.0
geohash,0.0
geohash_target_mean,0.0
geohash_prefix_4_target_mean,0.0
geohash_prefix_4_hour_std,0.0
geohash_prefix_4_hour_mean,0.0
geohash_prefix_4,0.0
is_weekend,0.0
is_night,0.0
is_rush_hour,0.0
minute_cos,0.0
minute,0.0
lane_vehicle_interaction,0.0
month,0.0
weekday,0.0
weekday_hour_mean,0.0
weekday_hour_median,0.0
weekday_hour_std,0.0
