Index,geohash,day,timestamp,demand,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather,hour,minute,dayofweek,month,dayofmonth,weekofyear,is_weekend
0,qp02z1,48,1900-01-01 00:00:00,0.0488042949024875,,1,Not Allowed,No,,,0,0,0,1,1,1,0
1,qp02zt,48,1900-01-01 00:00:00,0.1185072915415505,Residential,3,Allowed,Yes,31.104564604387004,Sunny,0,0,0,1,1,1,0
2,qp08bj,48,1900-01-01 00:00:00,0.0271317062001134,Residential,1,Not Allowed,No,25.91926731826868,Sunny,0,0,0,1,1,1,0
3,qp08gt,48,1900-01-01 00:00:00,0.0032715267668777,Residential,1,Not Allowed,No,,Rainy,0,0,0,1,1,1,0
4,qp02zq,48,1900-01-01 00:00:00,0.0108193962352523,Residential,1,Not Allowed,No,10.803667437719188,Rainy,0,0,0,1,1,1,0
5,qp02zw,48,1900-01-01 00:00:00,0.0162622793894155,Residential,2,Not Allowed,Yes,8.446025217429987,Rainy,0,0,0,1,1,1,0
6,qp02zy,48,1900-01-01 00:00:00,0.0422474543815316,Residential,3,Allowed,Yes,15.772408216444395,Foggy,0,0,0,1,1,1,0
7,qp08by,48,1900-01-01 00:00:00,0.0401354627300932,Residential,1,Not Allowed,No,2.7051432662852357,Snowy,0,0,0,1,1,1,0
8,qp08gq,48,1900-01-01 00:00:00,0.0010020345130475,Residential,1,Not Allowed,No,18.13689866092085,Foggy,0,0,0,1,1,1,0
9,qp08gy,48,1900-01-01 00:00:00,0.0039484383575523,Residential,3,Allowed,Yes,12.738208945925855,Rainy,0,0,0,1,1,1,0
10,qp02zp,48,1900-01-01 00:00:00,0.0177802395047849,Residential,1,Not Allowed,No,8.240079709262693,Rainy,0,0,0,1,1,1,0
11,qp02zr,48,1900-01-01 00:00:00,0.0890601277643069,Residential,2,Not Allowed,Yes,19.245380952519398,Sunny,0,0,0,1,1,1,0
12,qp02zx,48,1900-01-01 00:00:00,0.0500956084079046,Residential,3,Allowed,Yes,8.160115459038007,Rainy,0,0,0,1,1,1,0
13,qp02zz,48,1900-01-01 00:00:00,0.1525977123766266,Residential,1,Not Allowed,No,11.509704872334956,Rainy,0,0,0,1,1,1,0
14,qp08br,48,1900-01-01 00:00:00,0.0118702526315578,Residential,1,Not Allowed,No,16.33667107091718,Foggy,0,0,0,1,1,1,0
15,qp08bx,48,1900-01-01 00:00:00,0.0050907495014671,Residential,1,Not Allowed,No,4.696763714255914,Snowy,0,0,0,1,1,1,0
16,qp08bz,48,1900-01-01 00:00:00,0.0014920623887245,Residential,1,Not Allowed,No,19.26671713681805,Sunny,0,0,0,1,1,1,0
17,qp08cp,48,1900-01-01 00:00:00,0.0032837687608653,Residential,3,Allowed,Yes,24.318534306717417,Sunny,0,0,0,1,1,1,0
18,qp08fz,48,1900-01-01 00:00:00,0.0012974151672281,Residential,2,Not Allowed,Yes,-0.2484591287999116,Snowy,0,0,0,1,1,1,0
19,qp08gp,48,1900-01-01 00:00:00,0.0032755369177799,Residential,2,Not Allowed,Yes,7.382247826396348,Rainy,0,0,0,1,1,1,0
20,qp08gr,48,1900-01-01 00:00:00,0.0439728849401332,Residential,2,Not Allowed,Yes,16.500897559653527,Foggy,0,0,0,1,1,1,0
21,qp08gz,48,1900-01-01 00:00:00,0.0329734774128934,Residential,3,Allowed,Yes,17.745036556781237,Foggy,0,0,0,1,1,1,0
22,qp03p0,48,1900-01-01 00:00:00,0.0094805280613094,Residential,1,Not Allowed,No,5.375956134252942,Snowy,0,0,0,1,1,1,0
23,qp03p2,48,1900-01-01 00:00:00,0.0490435101474348,Residential,2,Not Allowed,Yes,26.037601246494845,Sunny,0,0,0,1,1,1,0
