Index,geohash,day,timestamp,demand,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather,hour,minute,is_weekend,hour_sin,hour_cos,minute_sin,minute_cos,geohash_prefix_2,geohash_prefix_3,geohash_prefix_4,lane_vehicle_interaction,temp_lane_interaction,avg_demand_by_hour,avg_demand_by_road,avg_demand_by_weather
0,qp02z1,48,1900-01-01 00:00:00,0.04765074852236216,Residential,1,Not Allowed,No,16.382587216677827,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,0,16.382587216677827,0.07493414077989634,0.054737703455794325,0.08332097291144729
1,qp02zt,48,1900-01-01 00:00:00,0.11199502096260576,Residential,3,Allowed,Yes,31.104564604387004,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,3,93.31369381316101,0.07493414077989634,0.054737703455794325,0.08332097291144729
2,qp08bj,48,1900-01-01 00:00:00,0.02677016634622183,Residential,1,Not Allowed,No,25.91926731826868,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,25.91926731826868,0.07493414077989634,0.054737703455794325,0.08332097291144729
3,qp08gt,48,1900-01-01 00:00:00,0.003266186966215489,Residential,1,Not Allowed,No,16.382587216677827,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,16.382587216677827,0.07493414077989634,0.054737703455794325,0.08367434601534707
4,qp02zq,48,1900-01-01 00:00:00,0.010761285341911566,Residential,1,Not Allowed,No,10.803667437719188,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,0,10.803667437719188,0.07493414077989634,0.054737703455794325,0.08367434601534707
5,qp02zw,48,1900-01-01 00:00:00,0.016131464846899205,Residential,2,Not Allowed,Yes,8.446025217429987,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,0,16.892050434859975,0.07493414077989634,0.054737703455794325,0.08367434601534707
6,qp02zy,48,1900-01-01 00:00:00,0.04137939534981537,Residential,3,Allowed,Yes,15.772408216444395,Foggy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,3,47.317224649333184,0.07493414077989634,0.054737703455794325,0.08272343183093117
7,qp08by,48,1900-01-01 00:00:00,0.03935095729623428,Residential,1,Not Allowed,No,2.705143266285236,Snowy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,2.705143266285236,0.07493414077989634,0.054737703455794325,0.0822105258770479
8,qp08gq,48,1900-01-01 00:00:00,0.0010015328115849805,Residential,1,Not Allowed,No,18.13689866092085,Foggy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,18.13689866092085,0.07493414077989634,0.054737703455794325,0.08272343183093117
9,qp08gy,48,1900-01-01 00:00:00,0.003940663733184369,Residential,3,Allowed,Yes,12.738208945925855,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,3,38.214626837777566,0.07493414077989634,0.054737703455794325,0.08367434601534707
10,qp02zp,48,1900-01-01 00:00:00,0.017624020074303144,Residential,1,Not Allowed,No,8.240079709262693,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,0,8.240079709262693,0.07493414077989634,0.054737703455794325,0.08367434601534707
11,qp02zr,48,1900-01-01 00:00:00,0.08531505616792956,Residential,2,Not Allowed,Yes,19.2453809525194,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,0,38.4907619050388,0.07493414077989634,0.054737703455794325,0.08332097291144729
12,qp02zx,48,1900-01-01 00:00:00,0.04888121565069588,Residential,3,Allowed,Yes,8.160115459038007,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,3,24.48034637711402,0.07493414077989634,0.054737703455794325,0.08367434601534707
13,qp02zz,48,1900-01-01 00:00:00,0.14201827526800517,Residential,1,Not Allowed,No,11.509704872334956,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp02,0,11.509704872334956,0.07493414077989634,0.054737703455794325,0.08367434601534707
14,qp08br,48,1900-01-01 00:00:00,0.01180035378371806,Residential,1,Not Allowed,No,16.33667107091718,Foggy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,16.33667107091718,0.07493414077989634,0.054737703455794325,0.08272343183093117
15,qp08bx,48,1900-01-01 00:00:00,0.005077835445829096,Residential,1,Not Allowed,No,4.696763714255914,Snowy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,4.696763714255914,0.07493414077989634,0.054737703455794325,0.0822105258770479
16,qp08bz,48,1900-01-01 00:00:00,0.001490950369635723,Residential,1,Not Allowed,No,19.26671713681805,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,19.26671713681805,0.07493414077989634,0.054737703455794325,0.08332097291144729
17,qp08cp,48,1900-01-01 00:00:00,0.003278388966344802,Residential,3,Allowed,Yes,24.318534306717417,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,3,72.95560292015224,0.07493414077989634,0.054737703455794325,0.08332097291144729
18,qp08fz,48,1900-01-01 00:00:00,0.0012965742514360406,Residential,2,Not Allowed,Yes,-0.2484591287999116,Snowy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,-0.4969182575998232,0.07493414077989634,0.054737703455794325,0.0822105258770479
19,qp08gp,48,1900-01-01 00:00:00,0.00327018403259363,Residential,2,Not Allowed,Yes,7.382247826396348,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,14.764495652792696,0.07493414077989634,0.054737703455794325,0.08367434601534707
20,qp08gr,48,1900-01-01 00:00:00,0.04303351684359558,Residential,2,Not Allowed,Yes,16.500897559653527,Foggy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,0,33.001795119307054,0.07493414077989634,0.054737703455794325,0.08272343183093117
21,qp08gz,48,1900-01-01 00:00:00,0.032441514505749176,Residential,3,Allowed,Yes,17.745036556781237,Foggy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp08,3,53.23510967034371,0.07493414077989634,0.054737703455794325,0.08272343183093117
22,qp03p0,48,1900-01-01 00:00:00,0.009435869888647985,Residential,1,Not Allowed,No,5.375956134252942,Snowy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp03,0,5.375956134252942,0.07493414077989634,0.054737703455794325,0.0822105258770479
23,qp03p2,48,1900-01-01 00:00:00,0.04787880629224258,Residential,2,Not Allowed,Yes,26.037601246494845,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp03,0,52.07520249298969,0.07493414077989634,0.054737703455794325,0.08332097291144729
24,qp0900,48,1900-01-01 00:00:00,0.005729498671662499,Residential,3,Allowed,Yes,12.13038258301014,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,3,36.391147749030424,0.07493414077989634,0.054737703455794325,0.08367434601534707
25,qp090b,48,1900-01-01 00:00:00,0.10264768109791629,Residential,1,Not Allowed,No,29.27851234778877,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,29.27851234778877,0.07493414077989634,0.054737703455794325,0.08332097291144729
26,qp094b,48,1900-01-01 00:00:00,0.01279406396199393,Residential,3,Allowed,Yes,13.919406119242153,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,3,41.758218357726456,0.07493414077989634,0.054737703455794325,0.08367434601534707
27,qp0950,48,1900-01-01 00:00:00,0.045622674315434056,Residential,2,Not Allowed,Yes,13.87855299119968,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,27.75710598239936,0.07493414077989634,0.054737703455794325,0.08367434601534707
28,qp0952,48,1900-01-01 00:00:00,0.005101219616406966,Residential,1,Not Allowed,No,23.845024707393268,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,23.845024707393268,0.07493414077989634,0.054737703455794325,0.08332097291144729
29,qp0958,48,1900-01-01 00:00:00,0.01797203714468822,Residential,1,Not Allowed,No,19.78228985184643,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,19.78228985184643,0.07493414077989634,0.054737703455794325,0.08332097291144729
30,qp095b,48,1900-01-01 00:00:00,0.015445735341204475,Residential,2,Not Allowed,Yes,11.524956944937433,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,23.049913889874865,0.07493414077989634,0.054737703455794325,0.08367434601534707
31,qp090c,48,1900-01-01 00:00:00,0.09876218395359733,Residential,1,Not Allowed,No,16.382587216677827,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,16.382587216677827,0.07493414077989634,0.054737703455794325,0.08332097291144729
32,qp0949,48,1900-01-01 00:00:00,0.005264548183365009,Residential,2,Not Allowed,Yes,20.40724561816188,Sunny,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,40.81449123632376,0.07493414077989634,0.054737703455794325,0.08332097291144729
33,qp094c,48,1900-01-01 00:00:00,0.007920247725587453,Residential,2,Not Allowed,Yes,14.388959254855962,Foggy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,28.777918509711924,0.07493414077989634,0.054737703455794325,0.08272343183093117
34,qp0951,48,1900-01-01 00:00:00,0.020257231679476403,Residential,1,Not Allowed,No,14.64553944209739,Foggy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,14.64553944209739,0.07493414077989634,0.054737703455794325,0.08272343183093117
35,qp0959,48,1900-01-01 00:00:00,0.00755276218135898,Residential,1,Not Allowed,No,10.138902302145713,Rainy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,10.138902302145713,0.07493414077989634,0.054737703455794325,0.08367434601534707
36,qp095c,48,1900-01-01 00:00:00,0.011396471602846214,Residential,2,Not Allowed,Yes,6.618796508944126,Snowy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp09,0,13.237593017888251,0.07493414077989634,0.054737703455794325,0.0822105258770479
37,qp03p6,48,1900-01-01 00:00:00,0.03628424539143898,Residential,1,Not Allowed,No,6.290247289533616,Snowy,0,0,0,0.0,1.0,0.0,1.0,qp,qp0,qp03,0,6.290247289533616,0.07493414077989634,0.054737703455794325,0.0822105258770479
